ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Number_Object_Number
1,6,18,67,307,1.010567184,0.582014132,1,0.72,0.914630809,5.37091622,4.472135955,2,1.258714125,1,3.535533906,4.367514513,58.41393701,15.726,0.87804878,66.72222222,306.1666667,6
1,22,97,142,590,1.1271791,0.724621032,1,0.692857143,0.726259912,13.813827,13.60147051,5,2.044312337,2,9,9.519765172,-2.224416442,40.968,0.873873874,141.4329897,589.4639175,22
1,20,56,167,581,1.04321427,0.63912218,1,0.888888889,0.867353104,9.749592379,9.219544457,4,1.774680366,1.707106781,6,7.498462391,-12.20505157,28.484,0.949152542,166.3035714,581.0535714,20
1,2,23,194,18,1.014233249,0.593796724,1,0.766666667,0.964368937,6.093899679,5.385164807,2.236067978,1.327965381,1,4,4.903243669,80.44351313,17.312,0.884615385,193.7826087,18.60869565,2
1,40,16,271,907,0.981747704,0.57236935,1,0.8,1.134601174,4.981732037,4.123105626,2,1.228553391,1,3,4.085,90,13.312,0.888888889,270.5,907,40
1,37,13,308,881,1.103918766,0.801004767,1,0.866666667,0.876004224,5.285540212,4.123105626,2,1.14064824,1,2,3.164230769,90,13.656,0.928571429,307.8461538,881,37
1,19,9,419,506,0.930842268,0,1,1,0.785398163,3.352821358,2.828427125,2,1.111111111,1,2,3.352821358,0,12,1,419,506,19
1,9,8,492,337,1.079922475,0.731240361,1,0.666666667,0.762278171,3.97412163,3.16227766,1.414213562,1.051776695,1,2,2.71082738,-82.98187827,11.484,0.888888889,491.75,336.75,9
1,13,226,591,430,1.43846498,0.906166859,1,0.760942761,0.62291345,26.54817202,26.01922366,5.385164807,2.531771669,2.236067978,10,11.22776221,0.750559232,67.522,0.905811623,585.4867257,430.1902655,13
1,7,72,600,309,1.143890946,0.740364719,1,0.75,0.72560076,12.09829324,11.70469991,4,1.822234749,1.707106781,7,8.132537891,-3.837115271,35.312,0.911392405,599.5,308.4444444,7
1,14,77,608,430,1.080271921,0.618776301,1,0.712962963,0.818537003,11.52116068,11.70469991,4.123105626,1.906408065,2,8,9.050646401,9.607822199,34.382,0.911242604,607.9350649,430.4155844,14
1,15,62,617,431,1.014682438,0.475092658,1,0.775,0.803460142,9.578987195,9.486832981,4,1.858079063,1.707106781,7,8.428893512,5.995617967,31.14,0.925373134,616.9032258,430.5483871,15
1,36,70,631,846,1.03886882,0.607321839,1,0.707070707,0.879577885,10.73280927,10.44030651,4.123105626,1.924372972,1.707106781,7.778174593,8.526743701,27.13856967,31.624,0.933333333,630.6857143,845.6857143,36
1,16,57,657,433,1.018375912,0.457314628,1,0.633333333,0.793857759,9.162620114,9.055385138,4.123105626,1.789481209,1.414213562,7.071067812,8.148363612,15.33769731,30.038,0.876923077,656.5614035,432.754386,16
1,4,26,664,127,0.989880525,0.540286088,1,0.866666667,1.09015619,6.281232388,5.385164807,2.828427125,1.435142635,1,4,5.285540212,0,17.312,0.928571429,664.5,127,4
1,17,133,710,435,1.284691686,0.846208267,1,0.671717172,0.724255279,18.47611767,17.2626765,5,2.159877201,2,10,9.845041707,1.751735539,48.038,0.880794702,707.4360902,434.8796992,17
1,18,29,718,434,1.050589597,0.602228667,1,0.828571429,0.904717762,6.970771871,6.708203933,3,1.43644325,1,4,5.564931965,11.96855439,20.07,0.920634921,718.2068966,433.9310345,18
1,11,32,728,390,1.01166033,0.325645305,1,0.761904762,0.899808055,6.678562928,6.32455532,3,1.498874689,1.207106781,5,6.314527868,9.338350866,21.14,0.901408451,727.8125,389.75,11
1,10,43,734,389,1.056114411,0.696964586,1,0.796296296,0.92726483,8.824874184,8.544003745,3,1.619089402,1.414213562,5,6.328366229,10.97672619,24.14,0.914893617,734.255814,388.5581395,10
1,29,14,770,634,0.993769105,0.66519871,1,0.875,0.943389164,4.863962151,4.242640687,2,1.202030509,1,2.828427125,3.631756989,-45,13.656,0.933333333,770.5,633.5,29
1,12,18,782,390,0.996561456,0.47279097,1,0.72,0.850095943,5.158754356,4.472135955,2.236067978,1.271829013,1,3.535533906,4.545763373,25.40624119,16.312,0.87804878,781.8888889,390.2777778,12
1,32,34,995,795,1.018955403,0.513021648,1,0.708333333,0.698845304,7.210898807,7,3,1.512827235,1.207106781,5,6.189660087,3.577017107,24.726,0.883116883,994.6176471,794.6764706,32
1,31,61,1000,785,1.030639372,0.556187939,1,0.7625,0.95159841,9.809632587,9.219544457,4,1.822012817,1.414213562,7,8.152359339,7.328994953,28.382,0.924242424,999.6557377,784.9180328,31
1,33,43,1013,795,1.004114764,0.500799216,1,0.767857143,1.024311293,8.009725231,7.280109889,3.605551275,1.655068488,1.414213562,6,6.93292568,6.197036807,22.968,0.905263158,1012.534884,794.9302326,33
1,39,44,1095,897,1.051451054,0.639949736,1,0.698412698,0.774095624,8.69064903,8.246211251,3.16227766,1.580664733,1.414213562,6,6.678040471,17.6621617,26.726,0.888888889,1095.113636,897.3181818,39
1,35,64,1095,834,1.029756509,0.567955578,1,0.8,0.851878751,10.08066789,9.433981132,4,1.842498531,1.707106781,7,8.296986545,4.814108278,30.726,0.914285714,1095.53125,834.296875,35
1,3,10,1316,27,0.980176908,0.605903771,1,0.833333333,0.784543325,4.004385629,3.16227766,2,1.141421356,1,2,3.18564071,90,12.656,0.952380952,1316,26.8,3
1,30,4,1341,690,1.178097245,0.916674408,1,0.666666667,1.571270851,3.322977808,2.236067978,1,1,1,0.707106781,1.327977808,31.71747441,5.656,1.333333333,1341,690.5,30
1,5,28,1357,137,1.03011953,0.413447833,1,0.777777778,0.722375868,6.42031572,5.830951895,2.828427125,1.412257277,1,5,5.845876002,-21.84767635,22.07,0.933333333,1356.607143,137.0714286,5
1,34,4,1450,822,0.785398163,0,1,1,0.785398163,2.09,1.414213562,1,1,1,1,2.09,0,8,1,1449.5,821.5,34
1,38,57,1454,893,1.057664268,0.51025038,1,0.703703704,0.738664969,9.472098392,9.219544457,4,1.735694728,1.414213562,7.778174593,8.14624995,-19.02060926,31.14,0.904761905,1453.561404,893.1403509,38
1,23,10,1457,587,0.980176908,0.605903771,1,0.833333333,0.784543325,4.004385629,3.16227766,2,1.141421356,1,2,3.18564071,90,12.656,0.952380952,1457,587.2,23
1,24,40,1474,590,1.004818775,0.450581321,1,0.816326531,0.85041024,7.628164694,7.211102551,3.16227766,1.613512032,1.414213562,6,6.809932567,-75.61281335,24.312,0.91954023,1473.65,589.925,24
1,25,10,1481,590,0.980176908,0.605903771,1,0.833333333,0.784543325,4.004385629,3.16227766,2,1.141421356,1,2,3.18564071,90,12.656,0.952380952,1481,589.8,25
1,26,21,1516,591,0.96883583,0,1,0.84,1.125551362,5.171947902,4.472135955,2.828427125,1.35644197,1,4,5.171947902,0,15.312,0.913043478,1516,591,26
1,27,56,1539,592,1.004931834,0.35253096,1,0.875,0.943389164,8.816929201,8.602325267,4,1.804619993,1.707106781,7,8.250883675,-31.88086365,27.312,0.941176471,1538.678571,591.6071429,27
1,28,14,1634,608,0.97316099,0.201411096,1,0.875,0.943389164,4.293312161,3.605551275,2,1.202030509,1,3,4.205328454,90,13.656,0.933333333,1633.714286,608.5,28
1,21,39,1703,585,1.030197075,0.615189327,1,0.8125,0.817541353,8.028159683,7.280109889,3,1.555697281,1.414213562,5,6.329235782,-5.185851329,24.484,0.906976744,1702.538462,584.5384615,21
1,1,24,1752,9,1.009927499,0.435857885,1,0.8,0.844480093,5.924655169,5.385164807,2.828427125,1.377961159,1,4,5.332281498,75.63693467,18.898,0.923076923,1752.208333,9.125,1
1,8,21,1767,331,1.055678257,0.742867832,1,0.875,0.97118943,6.337528072,5.385164807,2,1.297268604,1,3,4.242582823,-82.79750179,16.484,0.933333333,1767.428571,329.6190476,8
